season,player,pos,age,team_id,g,gs,mp_per_g,fg_per_g,fga_per_g,fg3_per_g,fg3a_per_g,fg2_per_g,fg2a_per_g,orb_per_g,drb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pts_per_g,mp,orb_pct,per,stl_pct,tov_pct,trb_pct,ts_pct
1987,John Lucas,PG,33,MIL,12,12,30.2,5.7,12.5,1,3,4.7,9.5,0.3,1.8,2.1,5.2,1.2,0.1,1.7,15.6,362,1.2,16.5,1.9,10.5,4.1,0.546
1984,Rory Sparrow,PG,25,NYK,12,,32.4,4.5,10.1,0.2,0.5,4.3,9.6,0.8,1.3,2.2,7.2,1,0.1,2.5,11.2,389,2.9,12,1.5,18.3,3.8,0.499
1984,Kyle Macy,PG,26,PHO,17,,36.5,4.5,9.2,0.6,1.3,3.9,7.9,0.8,2.4,3.2,5.8,1.3,0.1,1.5,10.4,620,2.7,12.1,1.7,13.2,5,0.536
1983,Mike Dunleavy,PG,28,SAS,11,,15.8,2,5.9,0.7,2.7,1.3,3.2,0.3,0.9,1.2,4.5,0.8,0.1,1.3,5.5,174,1.8,11.3,2.3,16.5,3.8,0.431
1983,Rob Williams,PG,21,DEN,7,,19.1,3.4,7.7,0.3,0.4,3.1,7.3,0.3,1.6,1.9,5.3,1.1,0.1,2.7,8.1,134,1.4,11.3,2.6,25,4.7,0.499
1983,Norm Nixon,PG,27,LAL,14,,38.4,8.1,16.9,0.2,0.5,7.9,16.4,0.9,2.5,3.4,6.4,1.3,0.1,2.4,19,538,2.7,15,1.6,11.6,4.9,0.514
1982,Kyle Macy,PG,24,PHO,7,,34.7,5.4,12.7,0.6,1.6,4.9,11.1,1.6,1.6,3.1,4,1,0.1,1.9,13.6,243,4.8,11.3,1.3,11.9,4.9,0.495
1982,John Lucas,PG,28,WSB,7,,10.6,2,3.7,0.1,0.4,1.9,3.3,0,1.1,1.1,2.9,0.4,0.1,0.6,4.4,74,0,20.1,2,12.8,6.1,0.567
1982,Norm Nixon,PG,26,LAL,14,,39.2,8.6,18.1,0.1,0.2,8.6,17.9,0.9,2.1,3.1,8.1,1.6,0.1,2.4,20.4,549,2.7,16.9,2,10.9,4.2,0.514
1979,Armond Hill,PG,25,ATL,9,,29.7,3.2,7.9,,,3.2,7.9,0.2,1.7,1.9,5.6,1.3,0.1,2.6,7.3,267,0.8,8.6,2.3,23.2,3.2,0.433
1979,Louie Dampier,PG,34,SAS,7,,7.9,1.1,2,,,1.1,2,0.1,0.6,0.7,1.1,0.4,0.1,0.1,2.9,55,1.8,16.1,2.5,5.5,4.5,0.585
1979,James Silas,PG,29,SAS,14,,33.9,7.3,15.4,,,7.3,15.4,0.9,2.1,3,4.7,1.5,0.1,2.6,19.1,475,2.5,17.7,2,12.6,4.4,0.534
1978,Quinn Buckner,PG,23,MIL,9,,28.6,4.8,9.6,,,4.8,9.6,0.3,2.7,3,6.9,2,0.1,4.3,11.2,257,1.3,12.6,3.1,28.9,5.6,0.525
1978,Larry Wright,PG,23,WSB,21,,19.1,3.6,7.8,,,3.6,7.8,0.3,1.1,1.5,3.2,0.8,0.1,1.2,8.1,402,1.7,13.6,2,12.6,3.9,0.491
2022,Mike Conley,PG,34,UTA,6,6,29,3.2,9.5,0.8,4.2,2.3,5.3,0.3,2.8,3.2,4.8,0.8,0.3,2.2,9.2,174,1.3,8.2,1.5,17,6.4,0.432
2022,Gabe Vincent,PG,25,MIA,18,8,23.5,2.8,7.3,1.4,4.5,1.4,2.8,0.2,1.8,1.9,3.2,0.8,0.3,1.4,8,423,0.8,10,1.7,15.2,4.9,0.515
2021,LeBron James,PG,36,LAL,6,6,37.3,9,19,3,8,6,11,1.2,6,7.2,8,1.5,0.3,4.2,23.3,224,3.4,20.1,2.1,16.8,10.8,0.564
2020,Trey Burke,PG,27,DAL,6,3,26,5,9.8,1.3,2.8,3.7,7,0.3,2.8,3.2,2,1.3,0.3,1,12.3,156,1.4,15.6,2.4,8.6,6.6,0.584
2020,Russell Westbrook,PG,31,HOU,8,8,32.8,7.4,17.5,1,4.1,6.4,13.4,1.4,5.6,7,4.6,1.5,0.3,3.8,17.9,262,4.5,12.1,2.2,16.3,11.9,0.464
2020,Damian Lillard,PG,29,POR,4,4,35.8,6.5,16,3.3,8.3,3.3,7.8,0.3,3.3,3.5,4.3,0.5,0.3,3.5,24.3,143,0.7,18.7,0.7,15.1,5.2,0.618
2020,Jamal Murray,PG,22,DEN,19,19,39.6,9.8,19.4,3.3,7.2,6.5,12.2,1.1,3.8,4.8,6.6,0.9,0.3,2.8,26.5,753,3.2,23.7,1.2,11.6,7.3,0.626
2019,Kyle Lowry,PG,32,TOR,24,24,37.5,5.1,11.6,2.2,6,2.9,5.5,0.9,4,4.9,6.6,1.3,0.3,2.2,15,901,2.6,15.4,1.7,14.5,7.2,0.576
2019,Damian Lillard,PG,28,POR,16,16,40.6,8.6,20.6,3.7,9.9,4.9,10.8,0.5,4.3,4.8,6.6,1.7,0.3,3.8,26.9,650,1.3,20.6,2.1,13.6,6.2,0.566
2018,Chris Paul,PG,32,HOU,15,15,34.5,7.9,17.1,2.5,6.6,5.4,10.5,0.6,5.3,5.9,5.8,2,0.3,1.9,21.1,517,1.9,22.8,2.9,9.1,9.5,0.565
2018,Terry Rozier,PG,23,BOS,19,19,36.6,5.7,14,2.7,7.7,3,6.3,0.4,4.8,5.3,5.7,1.3,0.3,1.2,16.5,696,1.3,17.3,1.8,7,8.2,0.538
2016,Jordan Farmar,PG,29,MEM,4,4,28.3,2.5,7.8,1,3,1.5,4.8,0,1.5,1.5,4,0.8,0.3,2.5,6.8,113,0,5.6,1.4,23.6,3.1,0.418
2016,Stephen Curry,PG,27,GSW,18,17,34.1,8.2,18.8,4.4,11,3.8,7.8,0.8,4.7,5.5,5.2,1.4,0.3,4.2,25.1,614,2.5,22.3,2.1,16.7,8.7,0.603
2016,Damian Lillard,PG,25,POR,11,11,39.7,8.1,22,3.8,9.7,4.3,12.3,1.1,3.2,4.3,6.3,1.3,0.3,3,26.5,437,2.7,19.8,1.6,10.7,5.5,0.527
2015,Marcus Smart,PG,20,BOS,4,3,22.5,3.5,7.3,0.8,3.3,2.8,4,1.3,1.5,2.8,1.3,0.3,0.3,1,9.8,90,5.9,12.8,0.6,10.1,6.7,0.548
2015,Austin Rivers,PG,22,LAC,14,2,17.9,3.3,7.5,0.9,2.5,2.4,5,0.4,1.3,1.7,1.1,0.7,0.3,0.9,8.4,250,2.6,12.9,1.9,9.6,5,0.516
2015,Chris Paul,PG,29,LAC,12,12,37.1,7.9,15.8,2.3,5.4,5.7,10.3,0.6,3.8,4.4,8.8,1.8,0.3,2.2,22.1,445,1.7,25.7,2.4,11,6.3,0.627
2014,Mario Chalmers,PG,27,MIA,20,19,26.8,2.4,5.6,0.8,2.2,1.6,3.4,0.1,2.2,2.3,3.6,1,0.3,1.5,6.4,535,0.5,10.2,2,19.7,5.7,0.525
2014,Patrick Beverley,PG,25,HOU,6,6,33.7,3.2,8.3,1.2,3.7,2,4.7,2.2,2,4.2,1.8,0.5,0.3,0.7,8.7,202,6.9,8.9,0.8,6.8,6.8,0.478
2014,Russell Westbrook,PG,25,OKC,19,19,38.7,8.8,20.9,1.5,5.3,7.3,15.7,2.4,4.9,7.3,8.1,2.2,0.3,4.4,26.7,735,7.3,24.9,2.9,15,10.6,0.539
2013,Kirk Hinrich,PG,32,CHI,4,4,40.5,4,9.3,1,2.8,3,6.5,0.3,2.5,2.8,5.8,2,0.3,2,11.3,162,0.7,12.7,2.7,15.6,4.2,0.521
2013,Mike Conley,PG,25,MEM,15,15,38.3,5.5,14.4,1.2,4.3,4.3,10.1,0.8,3.9,4.7,7.1,1.7,0.3,2.3,17,575,2.4,18.8,2.5,11.7,7.4,0.496
2013,Jeff Teague,PG,24,ATL,6,6,35.5,4.5,13.5,0.5,1.7,4,11.8,0.5,2.3,2.8,5,1.5,0.3,2.3,13.3,213,1.5,10.9,2.2,13,4.4,0.429
2013,Brandon Jennings,PG,23,MIL,4,4,33.3,4.3,14.3,1.5,7,2.8,7.3,0.3,2,2.3,4,2.3,0.3,2.8,13.3,133,0.9,9.9,3.6,14.5,4.2,0.408
2013,Jeremy Lin,PG,24,HOU,4,3,21,1.5,6,0.5,3,1,3,0,2,2,2,0.5,0.3,2,4,84,0,-0.4,1.2,24.3,5.3,0.322
2012,George Hill,PG,25,IND,11,11,31.5,4.3,9.5,1.4,3.6,2.9,5.9,0.8,1.5,2.3,2.9,1.2,0.3,2,13.5,346,3,17,2.1,14.9,4.2,0.591
2012,Mario Chalmers,PG,25,MIA,23,23,35.6,4,9,1.4,4,2.6,5,0.5,3.1,3.7,3.9,1.2,0.3,1.8,11.3,819,1.8,13.2,1.9,15.2,6.2,0.555
2012,Jason Kidd,PG,38,DAL,4,4,36,3.5,10.3,2.3,6.5,1.3,3.8,0.8,5.3,6,6,3,0.3,2.8,11.5,144,2.4,16.7,4.4,19.5,10,0.507
2011,Kirk Hinrich,PG,30,ATL,6,6,28.8,4.3,8.7,1.3,3.2,3,5.5,0.2,2.2,2.3,2.7,1.2,0.3,0.7,10.2,173,0.7,14.6,2.3,7.1,4.9,0.582
2011,George Hill,PG,24,SAS,6,1,31.5,3.3,8.3,0.7,2.5,2.7,5.8,0.8,4.2,5,2.3,1.5,0.3,1.3,11.7,189,3,15.6,2.5,11.2,9.2,0.554
2011,Mike Bibby,PG,32,MIA,20,20,20.8,1.4,4.8,0.9,3.3,0.5,1.5,0.3,1.6,1.8,1.2,0.6,0.3,0.9,3.7,415,1.5,3.6,1.5,14.8,5.3,0.373
2011,Tony Parker,PG,28,SAS,6,6,36.8,7.2,15.5,0.2,1.3,7,14.2,0.2,2.5,2.7,5.2,1.3,0.3,3.3,19.7,221,0.5,17.6,1.9,15.3,4.2,0.531
2009,Jason Kidd,PG,35,DAL,10,10,38.6,3.8,8.3,2.1,4.7,1.7,3.6,0.7,5.1,5.8,5.9,2.2,0.3,2,11.4,386,2.3,16.8,3,17.9,9.2,0.621
2009,Chauncey Billups,PG,32,DEN,16,16,38.7,5.6,12.3,2.8,5.9,2.9,6.4,0.3,3.5,3.8,6.8,1.3,0.3,1.9,20.6,619,1,22.9,1.7,11.1,5.9,0.664
2008,Mike Bibby,PG,29,ATL,7,7,36,3.1,9.3,1,3.4,2.1,5.9,0.4,2.7,3.1,3.1,0.6,0.3,1.9,10.3,252,1.5,7.8,0.9,14.1,5.4,0.455
2008,Antonio Daniels,PG,32,WAS,6,4,25.7,2.3,5.2,0.2,0.7,2.2,4.5,0.2,2.2,2.3,3,0.3,0.3,1.2,7.3,154,0.8,12.7,0.7,15.4,5.3,0.572
2008,Rajon Rondo,PG,21,BOS,26,26,32,4.1,10.1,0.2,0.8,3.9,9.3,1.5,2.6,4.1,6.6,1.7,0.3,1.8,10.2,831,6,15.8,3,13.8,8.1,0.454
2008,Deron Williams,PG,23,UTA,12,12,42.8,7.5,15.3,2.3,4.7,5.2,10.6,1.3,2.3,3.6,10,0.6,0.3,3.1,21.6,513,3.5,21.6,0.7,14.9,4.8,0.611
2007,T.J. Ford,PG,23,TOR,6,5,22.7,6.2,12.7,0.8,1.7,5.3,11,0.8,0.8,1.7,4,1.2,0.3,2.3,16,136,4.6,27.3,2.7,14.1,4.5,0.563
2007,Kirk Hinrich,PG,26,CHI,10,10,36.2,4.4,11.7,1.3,4.3,3.1,7.4,0.4,3.8,4.2,7.5,0.9,0.3,2.3,12.1,362,1.3,13.1,1.3,15.2,6.8,0.471
2007,Jason Williams,PG,31,MIA,4,4,28,1.8,7,1.3,4.3,0.5,2.8,0,2,2,3.5,1.3,0.3,0.8,5.8,112,0,8.3,2.3,9,4.4,0.381
2006,Kirk Hinrich,PG,25,CHI,6,6,39,6.5,15.7,1.5,4.3,5,11.3,0,3.3,3.3,7.7,1.3,0.3,4,20.5,234,0,16.7,1.7,17.6,5,0.547
2006,Steve Nash,PG,31,PHO,20,20,39.9,7.3,14.6,1.6,4.4,5.7,10.2,0.5,3.2,3.7,10.2,0.4,0.3,3.4,20.4,798,1.4,21.3,0.5,16.8,5.5,0.615
2005,Jamaal Tinsley,PG,26,IND,9,9,27.4,3.6,9.9,0.2,2,3.3,7.9,0.7,2.7,3.3,5.7,1.6,0.3,3,8.7,247,2.8,9.6,3.2,21.6,7.2,0.397
2004,Dwyane Wade,PG,22,MIA,13,13,39.2,6.6,14.5,0.2,0.6,6.4,13.9,1.2,2.8,4,5.6,1.3,0.3,4.2,18,510,3.6,17.7,1.9,19.6,5.8,0.527
2003,Damon Stoudamire,PG,29,POR,7,6,33.1,5.1,11.3,2.1,4.4,3,6.9,1,4.1,5.1,5.6,0.9,0.3,1.7,15.3,232,3.5,21.1,1.4,12,9.1,0.606
2002,Chauncey Billups,PG,25,MIN,3,3,44.7,7.7,17,2,5,5.7,12,0.3,4.7,5,5.7,1,0.3,3,22,134,0.8,16.6,1.1,13.1,5.9,0.552
2002,John Stockton,PG,39,UTA,4,4,35.3,4.5,10,0.5,1.8,4,8.3,0.8,3.3,4,10,2.8,0.3,2,12.5,141,2.3,22.2,4.2,14.9,6.4,0.547
2001,Chris Childs,PG,33,TOR,12,9,31.7,3.1,7.5,1.3,3,1.8,4.5,0.2,3,3.2,6.5,1,0.3,2.9,9.1,380,0.6,11.7,1.7,25.9,6.1,0.544
2001,Damon Stoudamire,PG,27,POR,3,3,38,6.3,15.3,0.7,4.3,5.7,11,0.3,2.7,3,4.3,0.7,0.3,3,17.7,114,1,14,0.9,14.8,4.4,0.512
2000,Lindsey Hunter,PG,29,DET,3,3,31,3.3,10.7,0.3,3,3,7.7,0,2.3,2.3,1.7,1.7,0.3,1.7,8.3,93,0,5.6,2.9,12.6,4.8,0.361
2000,Damon Stoudamire,PG,26,POR,16,16,27.9,3.5,8.4,0.6,1.9,2.9,6.6,0.5,2.1,2.6,3.6,0.5,0.3,1.2,8.9,447,2.3,12.1,1,11.5,6,0.488
2000,Charlie Ward,PG,29,NYK,16,16,27.4,3.6,7.1,1.3,3.3,2.3,3.8,0.7,3.6,4.3,4.1,1.4,0.3,1.3,9.4,439,3.1,20.3,2.9,14.1,9.2,0.614
1999,Jason Kidd,PG,25,PHO,3,3,42,6,14.3,1.3,5.3,4.7,9,0.3,2,2.3,10.3,1.7,0.3,3,15,126,0.9,16,2.1,16.3,3.6,0.488
1998,Kevin Johnson,PG,31,PHO,4,1,30.5,5.8,10.5,0.3,1,5.5,9.5,0.5,1.8,2.3,4.8,0.5,0.3,1.5,13.8,122,1.7,18.4,0.9,11.3,4.2,0.582
